IEVE  T1       T2       T3      W      XM212   XM223
  467     0.518     0.344     0.138  5765.181  3273.011  3683.826
  468     0.343     0.376     0.281  7724.994  1584.834  5748.738
  469     0.605     0.354     0.041  3048.944  4420.773  2658.698
  470     0.545     0.347     0.108  5140.806  3624.379  3368.863
  471     0.138     0.567     0.295  8028.726  1424.193  8173.204
  472     0.510     0.294     0.196  6603.471  2586.524  3787.475
  473     0.302     0.562     0.137  5945.023  3286.206  6242.041
  474     0.355     0.284     0.361  8129.642   638.772  5614.189
  475     0.275     0.444     0.281  7822.093  1583.418  6552.620
  476     0.455     0.190     0.355  7639.635   713.897  4427.767
  477     0.624     0.183     0.194  6137.483  2616.146  2440.445
  478     0.345     0.460     0.194  6838.083  2609.447  5724.349
  479     0.183     0.526     0.291  7986.463  1462.375  7645.086
  480     0.564     0.089     0.347  6381.591   802.619  3147.664
  481     0.305     0.332     0.363  8275.957   617.317  6202.169
  482     0.362     0.332     0.306  7856.905  1288.110  5524.676
  483     0.416     0.270     0.314  7747.752  1193.390  4896.601
  484     0.590     0.400     0.010  1345.577  4785.880  2836.168
  485     0.253     0.513     0.234  7392.582  2142.266  6812.848
  486     0.248     0.418     0.334  8231.191   956.555  6872.509
  487     0.442     0.218     0.340  7713.523   885.876  4588.306
  488     0.313     0.459     0.229  7286.474  2200.971  6110.691
  489     0.615     0.112     0.273  6282.631  1678.708  2539.236
  490     0.574     0.339     0.087  4601.403  3872.343  3028.968
  491     0.109     0.517     0.374  8568.322   486.547  8516.659
  492     0.379     0.418     0.203  6915.183  2504.081  5323.438
  493     0.580     0.328     0.092  4707.730  3818.858  2956.456
  494     0.405     0.322     0.273  7542.165  1678.939  5020.504
  495     0.508     0.361     0.131  5657.093  3353.813  3811.205
  496     0.653     0.142     0.205  5979.621  2484.119  2097.356
  497     0.372     0.449     0.179  6610.719  2782.201  5414.723
  498     0.219     0.556     0.225  7317.490  2243.678  7219.056
  499     0.497     0.180     0.323  7356.325  1091.520  3934.939
  500     0.402     0.470     0.129  5725.968  3379.567  5062.120
  501     0.550     0.310     0.141  5754.318  3242.092  3311.021
  502     0.171     0.515     0.314  8167.220  1198.181  7784.245
  503     0.684     0.155     0.161  5509.300  2997.838  1730.593
  504     0.534     0.191     0.274  7048.254  1663.865  3495.073
  505     0.568     0.096     0.336  6453.417   938.648  3093.933
  506     0.342     0.511     0.148  6122.504  3159.157  5771.035
  507     0.418     0.367     0.215  6995.975  2365.729  4865.586
  508     0.592     0.344     0.065  3942.495  4134.831  2820.364
  509     0.482     0.194     0.324  7457.843  1081.103  4110.095
  510     0.249     0.514     0.236  7422.344  2113.002  6858.944
  511     0.520     0.174     0.306  7187.903  1285.094  3664.582
  512     0.440     0.346     0.214  6950.302  2373.776  4608.407
  513     0.250     0.438     0.311  8080.518  1225.604  6849.587
  514     0.263     0.460     0.278  7806.233  1625.458  6701.219
  515     0.330     0.475     0.195  6859.210  2602.933  5901.223
  516     0.452     0.233     0.314  7600.937  1192.025  4461.928
  517     0.243     0.559     0.198  6960.854  2567.617  6927.933
  518     0.306     0.311     0.383  8348.906   380.130  6193.191
  519     0.536     0.252     0.212  6681.700  2400.372  3472.757
  520     0.444     0.427     0.129  5695.318  3376.045  4565.583
  521     0.277     0.471     0.252  7562.990  1924.448  6536.564
  522     0.231     0.392     0.376  8479.557   460.504  7069.793
  523     0.094     0.578     0.328  8269.056  1027.825  8689.112
  524     0.507     0.162     0.330  7267.749  1000.968  3814.744
  525     0.350     0.397     0.253  7479.177  1919.393  5670.114
  526     0.611     0.038     0.350  4772.212   767.127  2587.539
  527     0.323     0.479     0.198  6913.445  2560.291  5990.369
  528     0.619     0.194     0.187  6120.912  2687.916  2502.195
  529     0.503     0.144     0.353  7234.717   730.202  3865.707
  530     0.514     0.323     0.163  6169.878  2979.215  3730.760
  531     0.618     0.127     0.255  6327.642  1895.785  2505.048
  532     0.419     0.369     0.212  6964.614  2398.394  4859.670
  533     0.469     0.228     0.303  7487.624  1326.444  4266.215
  534     0.331     0.492     0.177  6617.583  2806.023  5899.292
  535     0.592     0.260     0.149  5785.818  3144.239  2821.175
  536     0.557     0.133     0.310  6835.128  1247.895  3227.717
  537     0.244     0.555     0.201  7010.061  2523.932  6924.965
  538     0.630     0.289     0.081  4360.718  3943.150  2370.031
  539     0.192     0.533     0.275  7836.831  1660.685  7533.696
  540     0.474     0.211     0.315  7495.349  1178.819  4207.469
  541     0.454     0.153     0.393  7555.681   262.873  4444.156
  542     0.211     0.408     0.381  8532.156   404.213  7308.170
  543     0.239     0.431     0.330  8213.820  1011.366  6975.153
  544     0.549     0.208     0.243  6847.992  2027.572  3323.336
  545     0.622     0.058     0.320  5425.645  1126.177  2459.736
  546     0.578     0.194     0.229  6617.813  2199.950  2986.099
  547     0.343     0.498     0.159  6319.238  3023.424  5748.286
  548     0.496     0.405     0.098  4970.657  3739.761  3945.433
  549     0.128     0.473     0.399  8697.106   191.483  8296.082
  550     0.505     0.385     0.110  5234.549  3600.772  3837.748
  551     0.689     0.104     0.206  5568.003  2464.031  1667.253
  552     0.449     0.402     0.149  6057.292  3138.226  4505.205
  553     0.333     0.456     0.211  7066.109  2407.857  5877.409
  554     0.362     0.341     0.297  7800.971  1394.875  5524.524
  555     0.562     0.155     0.283  6849.506  1565.890  3165.775
  556     0.516     0.248     0.235  6939.950  2124.190  3706.946
  557     0.370     0.329     0.300  7804.119  1355.578  5430.735
  558     0.465     0.254     0.281  7415.266  1581.613  4318.542
  559     0.588     0.378     0.035  2811.405  4488.514  2867.303
  560     0.367     0.436     0.197  6859.235  2570.336  5470.560
  561     0.342     0.270     0.388  8247.060   324.050  5767.958
  562     0.497     0.486     0.017  1920.908  4693.935  3939.880
  563     0.280     0.459     0.261  7641.184  1822.306  6494.883
  564     0.203     0.545     0.252  7614.189  1929.284  7401.535
  565     0.133     0.559     0.308  8133.796  1269.436  8228.000
  566     0.639     0.225     0.135  5436.164  3302.329  2255.405
  567     0.231     0.390     0.378  8489.339   435.690  7070.617
  568     0.385     0.221     0.394  8059.837   252.425  5253.029
  569     0.576     0.142     0.282  6721.834  1570.732  3006.252
  570     0.096     0.510     0.394  8665.560   254.813  8666.369
  571     0.190     0.435     0.375  8528.526   478.093  7558.510
  572     0.349     0.288     0.363  8155.022   614.047  5681.798
  573     0.153     0.560     0.288  7968.115  1505.918  7997.977
  574     0.327     0.325     0.349  8161.769   786.221  5946.497
  575     0.364     0.258     0.378  8143.239   438.048  5511.326
  576     0.496     0.403     0.102  5049.283  3701.369  3949.279
  577     0.408     0.511     0.081  4566.342  3946.631  4989.083
  578     0.528     0.336     0.136  5719.360  3293.378  3571.067
  579     0.533     0.407     0.060  3832.610  4192.987  3513.934
  580     0.274     0.401     0.325  8136.074  1067.930  6565.116
  581     0.215     0.538     0.247  7554.034  1990.978  7260.737
  582     0.289     0.354     0.357  8283.825   688.692  6386.586
  583     0.262     0.530     0.208  7081.503  2448.652  6711.298
  584     0.476     0.496     0.028  2538.184  4567.375  4183.907
  585     0.563     0.334     0.103  4996.292  3687.430  3158.520
  586     0.409     0.301     0.289  7640.172  1483.987  4972.340
  587     0.248     0.402     0.350  8323.200   769.125  6879.951
  588     0.411     0.470     0.118  5497.978  3505.083  4946.390
  589     0.276     0.436     0.288  7874.015  1505.496  6542.963
  590     0.575     0.297     0.128  5486.156  3389.931  3012.311
  591     0.501     0.168     0.331  7321.449   997.878  3890.630
  592     0.261     0.407     0.332  8202.201   977.961  6721.260
  593     0.539     0.452     0.009  1324.538  4790.744  3439.798
  594     0.195     0.579     0.226  7336.106  2236.066  7498.622
  595     0.547     0.373     0.079  4422.903  3963.777  3343.865
  596     0.624     0.143     0.233  6287.202  2150.106  2434.797
  597     0.641     0.188     0.171  5858.563  2882.052  2235.985
  598     0.115     0.585     0.299  8064.277  1369.005  8439.350
  599     0.069     0.545     0.387  8578.380   337.724  8990.475
  600     0.572     0.135     0.293  6731.845  1436.839  3053.129
  601     0.098     0.523     0.379  8587.617   433.542  8639.379
  602     0.241     0.461     0.298  7992.364  1383.855  6952.203
  603     0.240     0.361     0.400  8562.433   185.316  6973.438
  604     0.622     0.295     0.084  4439.831  3913.458  2462.819
  605     0.361     0.283     0.356  8091.532   699.655  5538.307
  606     0.529     0.384     0.088  4665.876  3866.750  3562.958
  607     0.517     0.397     0.086  4647.326  3880.080  3701.700
  608     0.372     0.292     0.336  7982.105   934.657  5408.502
  609     0.198     0.471     0.331  8269.290   990.793  7462.204
  610     0.507     0.191     0.302  7276.013  1333.591  3817.636
  611     0.303     0.304     0.392  8384.516   270.218  6221.377
  612     0.638     0.038     0.324  4630.573  1079.198  2268.601
  613     0.133     0.470     0.397  8683.257   220.457  8230.399
  614     0.685     0.133     0.182  5611.959  2757.434  1714.929
  615     0.273     0.380     0.347  8267.785   801.130  6581.708
  616     0.130     0.504     0.366  8524.044   580.743  8263.981
  617     0.431     0.387     0.182  6578.890  2750.473  4716.865
  618     0.556     0.431     0.012  1562.105  4753.697  3235.891
  619     0.595     0.343     0.062  3842.235  4170.104  2778.410
  620     0.649     0.253     0.098  4716.173  3749.095  2139.296
  621     0.302     0.355     0.344  8194.723   844.249  6242.398
  622     0.409     0.393     0.198  6815.218  2562.495  4970.136
  623     0.292     0.515     0.193  6866.578  2623.445  6358.144
  624     0.197     0.413     0.390  8595.237   292.280  7476.305
  625     0.545     0.269     0.186  6396.482  2705.514  3373.760
  626     0.488     0.170     0.341  7408.274   872.810  4039.155
  627     0.180     0.419     0.402  8667.717   157.736  7682.699
  628     0.614     0.347     0.039  2985.590  4436.519  2553.400
  629     0.429     0.335     0.236  7188.453  2116.756  4739.974
  630     0.597     0.061     0.342  5628.017   861.390  2756.099
  631     0.464     0.506     0.030  2609.855  4551.668  4321.677
  632     0.277     0.418     0.305  8002.445  1299.796  6532.871
  633     0.343     0.500     0.157  6284.762  3048.232  5758.245
  634     0.507     0.163     0.330  7274.211  1006.530  3822.391
  635     0.432     0.294     0.273  7475.520  1672.858  4699.583
  636     0.226     0.520     0.254  7622.154  1903.600  7138.137
  637     0.421     0.206     0.373  7853.100   502.909  4829.029
  638     0.568     0.373     0.059  3789.609  4198.196  3103.903
  639     0.423     0.289     0.288  7587.697  1507.328  4803.803
  640     0.586     0.151     0.263  6644.689  1798.364  2884.123
  641     0.323     0.343     0.334  8101.925   953.781  5988.737
  642     0.091     0.548     0.361  8481.991   636.107  8726.883
  643     0.174     0.483     0.343  8365.943   849.384  7752.003
  644     0.332     0.475     0.192  6826.203  2630.476  5877.652
  645     0.638     0.297     0.065  3879.508  4136.558  2273.802
  646     0.381     0.489     0.130  5761.656  3367.484  5303.925
  647     0.516     0.464     0.020  2097.033  4659.042  3715.426
  648     0.238     0.573     0.189  6837.637  2674.841  6987.994
  649     0.225     0.558     0.217  7221.595  2336.069  7150.708
  650     0.382     0.419     0.200  6869.374  2544.965  5295.243
  651     0.103     0.523     0.374  8565.275   487.595  8584.918
  652     0.413     0.458     0.128  5706.534  3385.440  4922.250
  653     0.629     0.306     0.066  3917.289  4127.006  2379.568
  654     0.345     0.267     0.388  8233.512   327.230  5726.801
  655     0.408     0.500     0.092  4876.756  3813.955  4984.957
  656     0.023     0.593     0.383  7945.099   374.830  9525.901
  657     0.500     0.193     0.307  7327.962  1272.900  3900.762
  658     0.499     0.244     0.256  7142.647  1877.046  3907.617
  659     0.656     0.051     0.293  5026.565  1441.745  2058.641
  660     0.566     0.283     0.151  5879.447  3122.355  3119.926
  661     0.568     0.296     0.136  5642.303  3295.105  3100.385
  662     0.460     0.354     0.187  6592.667  2698.381  4374.333
  663     0.464     0.202     0.334  7580.429   963.003  4327.101
  664     0.483     0.214     0.303  7416.124  1326.392  4097.554
  665     0.356     0.380     0.264  7566.525  1788.185  5596.809
  666     0.556     0.428     0.016  1800.159  4712.950  3242.677
  667     0.359     0.449     0.192  6798.144  2632.822  5561.019
  668     0.213     0.512     0.275  7826.630  1656.192  7282.275
  669     0.222     0.535     0.244  7522.159  2022.791  7185.506
  670     0.563     0.275     0.162  6050.607  2987.661  3159.905
  671     0.545     0.421     0.034  2801.461  4497.340  3375.014
  672     0.639     0.079     0.282  5760.011  1573.962  2256.697
  673     0.216     0.385     0.399  8602.207   194.763  7252.606
  674     0.491     0.426     0.083  4570.782  3922.600  4001.701
  675     0.507     0.465     0.027  2488.747  4576.247  3816.576
  676     0.375     0.275     0.350  8025.020   773.235  5378.528
  677     0.631     0.178     0.191  6076.890  2643.195  2352.723
  678     0.548     0.355     0.097  4890.423  3751.192  3334.553
  679     0.366     0.281     0.352  8062.622   743.023  5479.468
  680     0.392     0.477     0.131  5782.778  3350.252  5178.033
  681     0.097     0.522     0.381  8602.583   398.625  8656.255
  682     0.476     0.331     0.193  6637.556  2627.041  4179.545
  683     0.164     0.521     0.316  8185.560  1174.778  7870.308
  684     0.619     0.112     0.269  6253.863  1720.249  2497.096
  685     0.282     0.398     0.320  8094.826  1124.240  6476.776
  686     0.185     0.541     0.274  7836.521  1666.323  7621.437
  687     0.496     0.402     0.102  5059.710  3695.979  3944.505
  688     0.210     0.477     0.313  8134.178  1206.150  7327.661
  689     0.597     0.397     0.006  1017.261  4829.960  2750.847
  690     0.558     0.315     0.127  5492.642  3406.791  3212.231
  691     0.321     0.495     0.184  6713.776  2734.018  6011.154
  692     0.588     0.056     0.356  5530.710   697.065  2863.146
  693     0.357     0.402     0.241  7362.605  2053.824  5592.666
  694     0.547     0.187     0.266  6950.467  1757.290  3351.085
  695     0.533     0.306     0.161  6100.644  3004.949  3511.064
  696     0.361     0.362     0.277  7662.143  1633.460  5538.182
  697     0.277     0.524     0.199  6963.073  2547.619  6532.263
  698     0.602     0.320     0.078  4323.791  3977.944  2695.187
  699     0.394     0.282     0.324  7861.665  1079.907  5151.476
  700     0.667     0.042     0.292  4650.136  1457.189  1934.849
  701     0.552     0.203     0.245  6839.155  2008.640  3286.146
  702     0.310     0.410     0.279  7761.768  1606.486  6137.963
  703     0.459     0.405     0.135  5798.801  3302.157  4381.145
  704     0.415     0.382     0.203  6869.323  2502.206  4905.244
  705     0.375     0.354     0.271  7592.841  1701.922  5381.375
  706     0.292     0.354     0.354  8266.794   719.109  6358.475
  707     0.613     0.371     0.015  1742.301  4719.583  2562.642
  708     0.183     0.544     0.273  7824.593  1682.933  7640.635
  709     0.238     0.505     0.258  7651.269  1857.794  6997.398
  710     0.533     0.439     0.028  2516.060  4567.688  3507.781
  711     0.173     0.441     0.386  8600.072   350.654  7758.117
  712     0.557     0.305     0.138  5699.649  3270.644  3227.638
  713     0.496     0.370     0.133  5714.131  3327.287  3943.131
  714     0.655     0.174     0.171  5777.048  2885.678  2072.905
  715     0.623     0.189     0.188  6103.317  2677.387  2448.378
  716     0.599     0.031     0.370  4441.461   537.216  2731.046
  717     0.264     0.519     0.217  7189.254  2343.845  6684.034
  718     0.036     0.566     0.398  8372.354   200.228  9375.187
  719     0.208     0.470     0.321  8194.486  1106.802  7344.775
  720     0.380     0.337     0.283  7665.900  1566.167  5316.167
  721     0.358     0.375     0.267  7587.177  1753.499  5571.086
  722     0.656     0.195     0.149  5556.155  3139.429  2065.756
  723     0.298     0.551     0.151  6208.718  3119.340  6280.230
  724     0.316     0.560     0.124  5688.383  3431.864  6071.503
  725     0.664     0.217     0.119  5082.193  3500.045  1965.983
  726     0.413     0.400     0.187  6665.790  2694.998  4924.614
  727     0.544     0.412     0.044  3228.105  4381.727  3379.026
  728     0.264     0.391     0.345  8272.203   825.099  6689.354
  729     0.424     0.289     0.287  7584.535  1512.337  4801.070
  730     0.382     0.283     0.334  7942.316   957.025  5288.041
  731     0.599     0.317     0.085  4507.230  3899.604  2738.436
  732     0.548     0.447     0.005   922.342  4842.063  3331.128
  733     0.547     0.073     0.379  6178.326   425.878  3342.301
  734     0.143     0.500     0.357  8466.971   688.230  8113.298
  735     0.241     0.411     0.348  8319.151   798.179  6957.082
  736     0.496     0.463     0.041  3126.253  4417.629  3952.070
  737     0.489     0.178     0.333  7415.494   969.869  4036.490
  738     0.223     0.411     0.366  8444.936   576.349  7172.457
  739     0.083     0.580     0.336  8309.991   932.504  8816.038
  740     0.050     0.548     0.402  8559.780   158.365  9207.476
  741     0.565     0.252     0.182  6292.530  2747.911  3128.962
  742     0.593     0.069     0.338  5859.090   909.047  2808.029
  743     0.165     0.587     0.247  7584.292  1981.570  7849.628
  744     0.632     0.258     0.110  5026.012  3598.099  2349.294
  745     0.222     0.487     0.291  7955.949  1465.796  7178.142
  746     0.658     0.245     0.097  4688.962  3752.091  2037.504
  747     0.169     0.466     0.365  8496.833   593.810  7806.092
  748     0.484     0.266     0.250  7162.442  1946.165  4095.492
  749     0.428     0.319     0.252  7331.233  1922.885  4746.365
  750     0.520     0.162     0.318  7177.449  1149.136  3662.095
  751     0.269     0.426     0.304  8007.073  1308.762  6622.410
  752     0.353     0.354     0.294  7801.010  1431.360  5641.081
  753     0.104     0.576     0.321  8222.400  1117.885  8578.198
  754     0.188     0.494     0.318  8184.278  1152.193  7581.224
  755     0.619     0.152     0.230  6333.875  2187.648  2501.213
  756     0.550     0.201     0.249  6872.291  1956.959  3314.615
  757     0.205     0.562     0.233  7412.771  2152.130  7379.940
  758     0.576     0.272     0.151  5865.162  3113.278  2999.454
  759     0.562     0.188     0.250  6801.268  1952.560  3168.569
  760     0.551     0.141     0.308  6905.527  1268.242  3295.910
  761     0.451     0.248     0.301  7562.052  1342.957  4480.916
  762     0.255     0.378     0.367  8395.670   572.776  6792.833
  763     0.566     0.417     0.016  1825.636  4707.714  3119.592
  764     0.639     0.308     0.053  3485.061  4276.554  2258.040
  765     0.509     0.211     0.280  7212.374  1591.327  3794.042
  766     0.447     0.228     0.324  7653.136  1073.186  4522.383
  767     0.356     0.275     0.368  8147.040   552.828  5598.125
  768     0.169     0.516     0.316  8181.420  1177.043  7807.701
  769     0.588     0.167     0.245  6608.727  2013.418  2861.625
  770     0.390     0.286     0.324  7877.702  1071.548  5199.417
  771     0.356     0.514     0.130  5777.777  3367.803  5598.394
  772     0.532     0.239     0.229  6833.448  2199.364  3520.621
  773     0.073     0.590     0.337  8292.230   924.899  8934.006
  774     0.293     0.495     0.213  7122.500  2388.071  6348.381
  775     0.404     0.320     0.276  7565.938  1644.347  5036.243
  776     0.652     0.104     0.243  5924.623  2027.497  2101.515
  777     0.151     0.446     0.404  8705.284   136.388  8024.492
  778     0.201     0.460     0.339  8312.828   904.613  7423.723
  779     0.620     0.051     0.330  5212.782  1011.335  2487.188
  780     0.652     0.006     0.343  1906.551   858.151  2108.614
  781     0.176     0.511     0.312  8153.105  1215.679  7719.104
  782     0.622     0.309     0.069  4031.970  4086.359  2463.345
  783     0.534     0.367     0.099  4944.272  3732.917  3497.087
  784     0.147     0.525     0.328  8283.046  1024.511  8072.252
  785     0.379     0.478     0.143  6019.559  3208.803  5330.303
  786     0.455     0.169     0.376  7611.516   463.634  4435.594
  787     0.451     0.243     0.306  7579.743  1287.467  4478.942
  788     0.315     0.528     0.157  6296.565  3052.888  6082.661
  789     0.465     0.457     0.078  4440.111  3984.163  4309.059
  790     0.371     0.453     0.176  6563.360  2821.659  5428.925
  791     0.474     0.298     0.228  7014.808  2208.182  4212.883
  792     0.065     0.591     0.344  8313.227   837.589  9035.645
  793     0.532     0.131     0.337  6988.360   929.123  3519.299
  794     0.516     0.332     0.151  5992.174  3115.021  3709.188
  795     0.239     0.407     0.355  8360.927   715.243  6984.721
  796     0.155     0.554     0.290  7989.188  1475.465  7967.607
  797     0.510     0.337     0.152  6016.812  3104.224  3778.185
  798     0.363     0.446     0.192  6787.170  2639.335  5519.215
  799     0.280     0.352     0.368  8350.848   563.350  6495.046
  800     0.135     0.485     0.380  8598.465   417.623  8207.015
  801     0.402     0.205     0.392  7961.941   273.542  5051.684
  802     0.071     0.596     0.333  8261.631   965.041  8963.735
  803     0.479     0.219     0.301  7434.107  1342.838  4147.399
  804     0.307     0.488     0.206  7024.047  2471.212  6183.206
  805     0.475     0.375     0.150  6037.532  3128.499  4193.666
  806     0.485     0.285     0.230  6995.324  2191.670  4073.983
  807     0.466     0.348     0.186  6570.936  2707.922  4296.363
  808     0.396     0.405     0.200  6853.176  2543.849  5131.644
  809     0.682     0.174     0.144  5355.784  3202.231  1749.404
  810     0.406     0.208     0.385  7940.634   356.201  5004.747
  811     0.532     0.396     0.072  4218.618  4052.006  3527.167
  812     0.337     0.368     0.295  7838.956  1416.063  5822.197
  813     0.435     0.424     0.141  5930.932  3233.894  4670.549
  814     0.401     0.329     0.269  7524.265  1722.259  5065.444
  815     0.438     0.418     0.144  5980.019  3199.578  4638.304
  816     0.677     0.049     0.274  4857.558  1666.049  1815.992
  817     0.017     0.579     0.403  7699.722   139.616  9597.696
  818     0.612     0.369     0.019  1965.744  4677.689  2577.554
  819     0.591     0.388     0.021  2090.221  4654.763  2828.031
  820     0.646     0.217     0.137  5434.395  3283.144  2172.825
  821     0.539     0.186     0.275  7022.609  1653.362  3443.656
  822     0.525     0.450     0.025  2355.174  4604.548  3607.756
  823     0.102     0.544     0.354  8445.792   726.162  8591.629
  824     0.595     0.102     0.303  6354.261  1323.194  2780.574
  825     0.473     0.339     0.188  6583.070  2685.486  4218.088
  826     0.681     0.074     0.245  5378.263  2010.597  1764.739
  827     0.652     0.180     0.168  5768.222  2920.675  2106.924
  828     0.175     0.562     0.263  7739.864  1794.488  7734.517
  829     0.554     0.444     0.002   567.743  4875.807  3268.712
  830     0.381     0.244     0.375  8062.491   475.194  5301.506
  831     0.283     0.357     0.360  8309.632   654.865  6458.694
  832     0.618     0.322     0.061  3783.613  4182.090  2514.483
  833     0.467     0.454     0.078  4457.974  3976.452  4285.897
  834     0.396     0.265     0.339  7912.165   901.032  5125.393
  835     0.687     0.056     0.257  4975.142  1862.834  1696.671
  836     0.486     0.205     0.308  7412.178  1262.691  4062.417
  837     0.591     0.219     0.190  6274.386  2657.753  2827.770
  838     0.008     0.593     0.399  6521.937   196.965  9704.375
  839     0.408     0.282     0.310  7754.175  1243.458  4987.962
  840     0.394     0.528     0.078  4486.677  3981.390  5154.448
  841     0.588     0.322     0.089  4641.604  3844.414  2857.357
  842     0.198     0.419     0.383  8559.622   379.385  7461.915
  843     0.555     0.120     0.324  6772.945  1071.828  3249.463
  844     0.422     0.268     0.310  7706.646  1244.054  4821.231
  845     0.599     0.301     0.100  4878.681  3718.168  2728.909
  846     0.047     0.562     0.391  8474.264   286.799  9248.546
  847     0.193     0.430     0.377  8536.015   452.839  7525.062
  848     0.298     0.327     0.375  8341.752   473.973  6287.659
  849     0.515     0.181     0.304  7224.251  1316.519  3724.558
  850     0.602     0.217     0.182  6150.611  2755.422  2702.896
  851     0.287     0.453     0.260  7625.544  1832.718  6410.668
  852     0.583     0.097     0.320  6376.002  1119.566  2922.803
  853     0.452     0.418     0.131  5718.329  3357.254  4470.622
  854     0.577     0.109     0.314  6546.300  1194.129  2997.255
  855     0.520     0.391     0.089  4720.676  3846.049  3666.972
  856     0.638     0.048     0.313  5048.581  1200.782  2272.160
  857     0.467     0.164     0.368  7524.592   553.978  4286.701
  858     0.604     0.177     0.219  6412.053  2310.073  2677.690
  859     0.328     0.349     0.323  8028.537  1089.236  5924.964
  860     0.475     0.286     0.240  7108.502  2073.859  4199.412
  861     0.214     0.462     0.323  8200.728  1085.772  7272.438
  862     0.484     0.359     0.157  6133.443  3048.368  4086.037
  863     0.666     0.088     0.246  5678.223  1994.763  1944.521
  864     0.636     0.060     0.304  5403.405  1316.616  2294.043
  865     0.561     0.206     0.233  6732.443  2148.069  3183.654
  866     0.311     0.333     0.357  8236.363   690.368  6136.317
  867     0.565     0.286     0.149  5849.646  3146.983  3128.396
  868     0.377     0.455     0.168  6438.463  2914.881  5352.977
  869     0.179     0.533     0.288  7961.371  1501.079  7692.274
  870     0.557     0.098     0.345  6545.024   828.036  3228.529
  871     0.459     0.199     0.343  7619.458   855.102  4390.411
  872     0.240     0.534     0.226  7310.104  2238.328  6963.529
  873     0.294     0.561     0.145  6111.332  3184.654  6332.854
  874     0.353     0.505     0.142  6018.672  3221.553  5636.145
  875     0.057     0.589     0.354  8336.593   723.936  9130.348
  876     0.183     0.488     0.329  8268.273  1015.061  7641.834
  877     0.641     0.178     0.181  5948.406  2758.646  2239.951
  878     0.631     0.186     0.183  6019.777  2737.685  2356.596
  879     0.008     0.600     0.392  6344.413   272.217  9712.215
  880     0.669     0.027     0.304  3926.051  1314.304  1904.006
  881     0.469     0.336     0.195  6677.334  2601.743  4265.667
  882     0.361     0.320     0.320  7937.446  1127.609  5546.494
  883     0.222     0.497     0.282  7878.487  1577.099  7184.826
  884     0.577     0.417     0.006  1025.889  4829.425  2995.335
  885     0.136     0.561     0.302  8090.083  1334.952  8190.702
  886     0.349     0.315     0.336  8046.476   938.776  5684.049
  887     0.583     0.106     0.311  6467.887  1230.120  2917.450
  888     0.570     0.364     0.066  4004.949  4119.832  3072.508
  889     0.551     0.295     0.154  5967.814  3080.870  3302.023
  890     0.229     0.457     0.314  8123.343  1193.231  7099.980
  891     0.495     0.472     0.032  2743.023  4517.280  3954.949
  892     0.372     0.365     0.263  7533.102  1798.152  5414.549
  893     0.630     0.184     0.187  6053.338  2696.516  2370.017
  894     0.352     0.279     0.369  8164.592   544.709  5651.332
  895     0.569     0.177     0.254  6770.206  1898.787  3087.323
  896     0.455     0.445     0.100  5039.805  3723.596  4432.375
  897     0.463     0.303     0.234  7092.012  2140.890  4336.424
  898     0.540     0.291     0.169  6202.092  2904.363  3426.071
  899     0.284     0.453     0.263  7653.286  1801.323  6448.671
  900     0.335     0.358     0.307  7923.629  1271.783  5849.371
  901     0.565     0.098     0.337  6498.492   924.809  3132.272
  902     0.258     0.530     0.213  7148.576  2387.793  6762.284
  903     0.580     0.410     0.011  1444.362  4771.371  2962.074
  904     0.626     0.255     0.119  5199.250  3499.469  2414.466
  905     0.493     0.449     0.058  3789.114  4216.523  3978.367
  906     0.366     0.331     0.303  7826.408  1329.717  5476.588
  907     0.506     0.205     0.289  7253.393  1495.383  3828.702
  908     0.590     0.268     0.142  5695.126  3219.051  2840.836
  909     0.692     0.094     0.214  5486.194  2376.570  1632.152
  910     0.450     0.486     0.064  4011.812  4148.275  4486.163
  911     0.518     0.396     0.086  4628.292  3887.826  3683.824
  912     0.288     0.509     0.203  7001.905  2505.323  6401.183
  913     0.652     0.109     0.239  5958.401  2080.497  2108.923
  914     0.508     0.293     0.198  6633.152  2558.075  3802.901
  915     0.446     0.229     0.325  7660.271  1067.354  4536.858
  916     0.294     0.510     0.196  6902.704  2590.368  6328.813
  917     0.385     0.504     0.111  5360.670  3587.739  5257.731
  918     0.487     0.401     0.112  5294.826  3578.844  4048.778
  919     0.570     0.354     0.076  4292.235  4007.788  3074.391
  920     0.481     0.432     0.086  4667.993  3884.289  4120.120
  921     0.392     0.348     0.260  7469.817  1834.630  5175.500
  922     0.367     0.461     0.172  6501.380  2873.293  5469.419
  923     0.415     0.288     0.296  7660.862  1404.433  4898.613
  924     0.446     0.162     0.392  7635.585   275.064  4537.411
  925     0.336     0.498     0.165  6427.919  2948.342  5831.850
  926     0.432     0.505     0.062  3974.303  4164.419  4699.988
  927     0.671     0.017     0.312  3184.081  1220.652  1877.406
  928     0.091     0.560     0.349  8403.621   786.271  8721.997
  929     0.527     0.297     0.176  6330.032  2817.674  3587.607
  930     0.164     0.565     0.271  7814.918  1705.416  7866.240
  931     0.539     0.117     0.344  6851.116   839.147  3444.390
  932     0.560     0.261     0.179  6264.385  2793.548  3187.943
  933     0.106     0.532     0.362  8496.344   631.893  8549.174
  934     0.461     0.502     0.037  2977.312  4461.307  4367.003
  935     0.164     0.511     0.325  8251.168  1065.875  7866.715
