IEVE  T1       T2       T3      W      XM212   XM223
  107     0.482     0.330     0.188  6567.434  2683.713  4109.557
  108     0.632     0.122     0.246  6189.714  1995.315  2343.638
  109     0.555     0.237     0.208  6581.284  2446.151  3257.275
  110     0.358     0.355     0.286  7737.111  1520.940  5571.458
  111     0.637     0.176     0.187  6007.788  2695.528  2279.176
  112     0.405     0.521     0.074  4365.121  4026.788  5025.390
  113     0.477     0.445     0.078  4443.044  3979.752  4168.528
  114     0.618     0.342     0.040  3010.251  4428.788  2511.281
  115     0.427     0.180     0.393  7793.299   264.349  4763.479
  116     0.098     0.502     0.401  8700.664   173.765  8650.247
  117     0.406     0.247     0.347  7897.805   807.254  5012.615
  118     0.490     0.123     0.387  7168.712   332.333  4017.885
  119     0.338     0.354     0.308  7917.226  1271.331  5809.640
  120     0.088     0.566     0.346  8384.387   813.656  8760.687
  121     0.148     0.465     0.387  8626.953   335.821  8048.924
  122     0.419     0.457     0.124  5616.527  3435.250  4857.421
  123     0.162     0.586     0.251  7628.003  1932.618  7886.676
  124     0.402     0.368     0.230  7184.026  2183.672  5055.947
  125     0.511     0.175     0.314  7253.570  1198.689  3768.448
  126     0.590     0.227     0.183  6207.556  2744.325  2839.234
  127     0.095     0.582     0.323  8230.004  1093.533  8679.452
  128     0.675     0.107     0.218  5729.161  2329.928  1837.884
  129     0.537     0.150     0.313  7037.372  1208.293  3467.544
  130     0.371     0.480     0.149  6128.911  3140.573  5421.769
  131     0.225     0.445     0.330  8234.965  1004.014  7146.684
  132     0.154     0.445     0.400  8687.737   174.364  7981.039
  133     0.438     0.500     0.063  3990.278  4158.020  4637.461
  134     0.320     0.282     0.398  8347.240   199.509  6023.706
  135     0.624     0.183     0.192  6125.986  2629.706  2433.505
  136     0.348     0.321     0.332  8029.767   986.944  5696.768
  137     0.372     0.331     0.298  7783.283  1389.328  5414.514
  138     0.289     0.461     0.249  7523.733  1957.106  6389.267
  139     0.433     0.335     0.232  7148.347  2158.123  4696.906
  140     0.450     0.195     0.355  7675.619   711.093  4491.493
  141     0.336     0.396     0.268  7637.148  1733.192  5835.406
  142     0.224     0.512     0.263  7712.911  1793.457  7154.182
  143     0.358     0.374     0.269  7603.320  1731.480  5578.051
  144     0.663     0.107     0.230  5841.222  2190.400  1973.904
  145     0.420     0.510     0.070  4243.811  4069.899  4846.879
  146     0.544     0.190     0.266  6964.240  1763.972  3379.784
  147     0.344     0.490     0.166  6426.753  2944.995  5743.553
  148     0.565     0.330     0.104  5025.607  3670.095  3128.508
  149     0.575     0.412     0.013  1592.675  4747.809  3018.706
  150     0.622     0.268     0.110  5044.213  3600.901  2461.573
  151     0.220     0.532     0.247  7559.096  1981.727  7202.519
  152     0.290     0.527     0.182  6720.226  2746.806  6374.775
  153     0.278     0.430     0.292  7904.216  1455.430  6517.820
  154     0.387     0.380     0.233  7235.219  2152.327  5234.795
  155     0.482     0.155     0.363  7408.833   611.752  4117.075
  156     0.404     0.381     0.215  7026.724  2357.646  5038.123
  157     0.207     0.447     0.346  8351.344   818.848  7358.316
  158     0.213     0.566     0.221  7275.450  2288.841  7286.612
  159     0.304     0.412     0.283  7802.538  1558.249  6209.853
  160     0.248     0.509     0.242  7488.479  2040.113  6869.516
  161     0.458     0.207     0.335  7618.041   944.516  4399.119
  162     0.668     0.030     0.302  4088.235  1334.908  1915.859
  163     0.413     0.387     0.200  6836.391  2536.911  4924.859
  164     0.594     0.321     0.085  4520.212  3896.621  2790.189
  165     0.384     0.475     0.141  5977.789  3233.220  5271.761
  166     0.290     0.428     0.282  7809.888  1575.562  6379.730
  167     0.307     0.298     0.396  8383.861   230.675  6181.510
  168     0.458     0.457     0.085  4649.716  3899.532  4398.370
  169     0.327     0.302     0.372  8251.322   516.136  5946.922
  170     0.275     0.540     0.185  6772.683  2712.050  6559.551
  171     0.313     0.533     0.153  6245.147  3088.974  6103.024
  172     0.416     0.441     0.143  5986.925  3209.486  4896.197
  173     0.213     0.497     0.291  7959.605  1471.812  7290.407
  174     0.488     0.286     0.225  6951.985  2239.497  4040.507
  175     0.647     0.170     0.182  5911.903  2749.839  2160.735
  176     0.288     0.432     0.280  7797.814  1596.660  6402.233
  177     0.553     0.269     0.178  6283.734  2796.440  3276.924
  178     0.491     0.413     0.096  4912.709  3769.659  4003.348
  179     0.627     0.337     0.035  2796.056  4484.991  2396.691
  180     0.405     0.316     0.279  7588.207  1602.397  5026.370
  181     0.539     0.259     0.202  6586.611  2511.781  3445.065
  182     0.236     0.537     0.227  7325.039  2225.654  7012.724
  183     0.358     0.336     0.306  7867.084  1287.541  5576.262
  184     0.393     0.518     0.089  4795.773  3853.218  5158.346
  185     0.210     0.422     0.367  8466.789   564.218  7318.478
  186     0.137     0.511     0.351  8435.485   753.572  8180.768
  187     0.297     0.500     0.202  6987.292  2512.176  6290.542
  188     0.492     0.309     0.198  6672.173  2558.035  3994.515
  189     0.646     0.198     0.156  5683.465  3055.085  2176.926
  190     0.165     0.504     0.331  8292.449   993.290  7850.719
  191     0.629     0.249     0.123  5268.574  3449.199  2384.164
  192     0.241     0.514     0.246  7527.485  2002.003  6958.955
  193     0.376     0.486     0.138  5919.610  3273.600  5359.561
  194     0.526     0.281     0.193  6525.584  2623.648  3591.982
  195     0.586     0.393     0.021  2118.696  4649.404  2887.923
  196     0.148     0.479     0.373  8557.286   495.429  8058.505
  197     0.255     0.566     0.179  6690.821  2786.600  6787.358
  198     0.381     0.477     0.142  5987.590  3228.368  5305.384
  199     0.034     0.592     0.375  8205.092   479.305  9402.228
  200     0.570     0.052     0.378  5477.347   439.875  3073.313
  201     0.221     0.430     0.348  8348.120   791.856  7188.825
  202     0.356     0.322     0.322  7961.656  1099.022  5601.205
  203     0.449     0.298     0.253  7285.251  1915.341  4505.607
  204     0.457     0.496     0.046  3373.673  4352.131  4407.255
  205     0.408     0.432     0.160  6279.165  3011.730  4989.712
  206     0.461     0.369     0.170  6365.556  2893.968  4364.042
  207     0.411     0.401     0.188  6685.857  2679.431  4947.772
  208     0.339     0.265     0.396  8272.090   230.522  5796.514
  209     0.406     0.477     0.117  5471.300  3521.773  5009.759
  210     0.676     0.036     0.288  4379.385  1505.609  1823.484
  211     0.469     0.455     0.077  4406.764  3996.674  4272.303
  212     0.536     0.203     0.261  6998.612  1816.115  3479.021
  213     0.357     0.413     0.230  7244.599  2190.993  5588.449
  214     0.456     0.308     0.236  7128.930  2115.959  4424.205
  215     0.508     0.434     0.059  3805.404  4208.159  3811.839
  216     0.361     0.496     0.142  6008.869  3224.036  5535.648
