%#LIBRARY    ENDF/B-VIII.0
%#REACTION   SI-28(N,TOT),SIG
%#NUCLEUS    Si-28
%#EN-MIN     1e-05
%#EN-MAX     1.5e+08
%#E,eV        Sig,b        Interpolation
e      sig
399588        3.44472
399596        3.44693
399604        3.45013
399612        3.45504
399623        3.47118
399634        3.50346
399661        3.63655
399680        3.70232
399703        3.63529
399728        3.5106
399740        3.47805
399751        3.46492
399759        3.45766
399766        3.45335
399774        3.45273
399785        3.45225
399799        3.4519
399834        3.4513
399903        3.4502
400051        3.44795
400483        3.44217
416309        3.35281
474847        3.07417
504824        2.9652
518742        2.94737
524496        2.97043
527039        3.00537
528754        3.06803
529756        3.14152
530512        3.25939
531031        3.42056
531437        3.6688
531742        4.04661
531986        4.64702
532143        5.36614
532267        6.31259
532371        7.5749
532481        9.58406
532646        12.9194
532723        12.9839
532804        11.4318
532960        7.40357
533067        5.63988
533163        4.68645
533284        3.98616
533431        3.52215
533622        3.2097
533874        3.02088
534194        2.92016
534647        2.87024
535372        2.85255
536528        2.8664
538036        2.8952
541477        2.96896
547174        3.18027
551118        3.50207
554186        3.98729
558130        5.37088
563279        10.2725
565492        12.4345
567662        11.9824
571715        8.02766
573906        6.51561
577412        5.07888
581356        4.20786
583493        3.88142
584814        3.70033
585602        3.59278
586068        3.52964
586355        3.50324
586529        3.5003
586688        3.53006
586800        3.60998
586882        3.75698
586945        3.98423
586997        4.34814
587052        5.08098
587130        6.81937
587176        7.51079
587215        7.2764
587289        5.77169
587346        4.85127
587399        4.35335
587465        3.99018
587545        3.75004
587657        3.55923
587792        3.42518
587999        3.28913
588305        3.13704
588682        2.93948
589031        2.6953
589325        2.3881
589529        2.07071
589701        1.69444
589863        1.24125
589971        0.971841
590050        0.957505
590124        1.30404
590192        2.09186
590282        3.5928
590373        4.86646
590509        5.53769
590627        5.48451
590783        5.22268
590996        4.87805
591233        4.60447
591587        4.33428
592043        4.11701
592702        3.92422
593648        3.75524
595826        3.54771
598331        3.40555
600110        3.33699
600898        3.31079
601416        3.29755
601682        3.29133
601892        3.29589
602031        3.30508
602133        3.32341
602215        3.36642
602271        3.43308
602311        3.54026
602343        3.72983
602363        3.97975
602383        4.41775
602402        5.15018
602436        7.11126
602460        8.2668
602482        8.21348
602510        6.79322
602540        5.06971
602559        4.38912
602578        3.96312
602602        3.69661
602634        3.52255
602672        3.4234
602722        3.35971
602797        3.31454
602896        3.2862
603031        3.26729
603251        3.25056
603561        3.23795
604066        3.22046
604989        3.1986
606862        3.1544
611632        3.07004
628203        2.88802
657717        2.70518
700532        2.51897
713132        2.46944
713619        2.46755
713781        2.46697
713857        2.46678
713892        2.46614
713910        2.46597
713926        2.46634
713937        2.46741
713950        2.47242
713964        2.48274
713982        2.50607
714022        2.59869
714046        2.62501
714076        2.57468
714107        2.50893
714122        2.49176
714137        2.48163
714148        2.47764
714161        2.4762
714177        2.47533
714201        2.47452
714255        2.47302
714360        2.47033
714621        2.46829
716270        2.46274
739227        2.39446
757553        2.38532
768137        2.44866
770296        2.47729
770905        2.4945
771178        2.51683
771339        2.54982
771426        2.59595
771489        2.67062
771534        2.78522
771563        2.94588
771589        3.23017
771608        3.60027
771626        4.2187
771650        5.48098
771689        7.85888
771710        8.38177
771730        7.89745
771771        5.38698
771794        4.19196
771812        3.58209
771832        3.1835
771854        2.95183
771887        2.77217
771934        2.65829
771996        2.59178
772084        2.5503
772212        2.52813
772443        2.51707
772896        2.51692
774345        2.5397
782380        2.792
793220        3.71162
804059        6.33287
812610        8.91788
819415        8.6903
831760        6.12262
838987        5.11772
841998        4.83241
843425        4.75384
843971        4.78918
844300        4.88865
844501        5.04126
844683        5.34559
844805        5.76025
844909        6.41186
845006        7.49654
845160        10.2682
845230        10.8833
845304        10.2434
845454        7.53155
845568        6.28263
845674        5.65261
845806        5.22877
845961        4.96071
846219        4.73465
846582        4.58585
847110        4.48105
848129        4.36594
850829        4.17783
858027        3.82493
868975        3.4695
871048        3.42037
871558        3.40974
871794        3.41302
871949        3.4186
872034        3.43355
872099        3.46268
872140        3.51163
872168        3.58329
872191        3.715
872209        3.92108
872227        4.29308
872248        4.97345
872289        6.61954
872309        6.96353
872333        6.55793
872374        4.85353
872394        4.22288
872413        3.8598
872431        3.66162
872454        3.54435
872486        3.4732
872533        3.4299
872601        3.40495
872701        3.39151
872853        3.38046
873144        3.3703
873870        3.35036
877889        3.26641
891668        2.99466
900486        2.72151
904014        2.54368
905851        2.51667
906880        2.69034
907615        3.10405
908276        3.94122
909218        6.35273
909921        8.24231
910665        8.6591
911730        7.56401
912816        6.46333
913982        5.70729
916324        4.93628
920850        4.43041
934643        4.43165
958398        5.45872
972958        5.61198
999012        4.72019
1.01436e+06        4.19452
1.01639e+06        4.14793
1.01688e+06        4.15012
1.01717e+06        4.16581
1.01735e+06        4.20179
1.01747e+06        4.26765
1.01755e+06        4.37771
1.01761e+06        4.57514
1.01766e+06        4.933
1.01769e+06        5.54076
1.01772e+06        6.64379
1.01778e+06        8.9022
1.01781e+06        9.02542
1.01787e+06        6.80754
1.0179e+06        5.57311
1.01793e+06        4.86618
1.01797e+06        4.50297
1.01802e+06        4.29448
1.01807e+06        4.19675
1.01817e+06        4.13122
1.01832e+06        4.09104
1.01857e+06        4.07088
1.01907e+06        4.05034
1.02047e+06        4.01617
1.02701e+06        3.85998
1.03612e+06        3.70336
1.03897e+06        3.73081
1.04019e+06        3.83149
1.04086e+06        3.9921
1.04135e+06        4.25763
1.04178e+06        4.7741
1.04204e+06        5.41226
1.0423e+06        6.61291
