%#LIBRARY    ENDF/B-VIII.0
%#REACTION   O-16(N,TOT),SIG
%#NUCLEUS    O-16
%#EN-MIN     1e-05
%#EN-MAX     1.5e+08
%#E,eV        Sig,b        Interpolation
e      sig
1.8285e+06        2.36723
1.8295e+06        2.78374
1.8315e+06        4.02238
1.83225e+06        4.44815
1.83322e+06        4.75434
1.83394e+06        4.66719
1.83415e+06        4.60581
1.836e+06        3.84418
1.838e+06        3.14199
1.841e+06        2.57068
1.844e+06        2.29288
1.8475e+06        2.12338
1.851e+06        2.02884
1.853e+06        1.99391
1.859e+06        1.93649
1.867e+06        1.92982
1.873e+06        1.96856
1.88e+06        2.07573
1.885e+06        2.21671
1.89e+06        2.43024
1.898e+06        2.92067
1.904e+06        3.1687
1.91e+06        3.03401
1.919e+06        2.51874
1.924e+06        2.28859
1.93e+06        2.09449
1.94e+06        1.89909
1.955e+06        1.74949
1.975e+06        1.64993
2e+06        1.57966
2.1e+06        1.41646
2.16e+06        1.31608
2.21e+06        1.18855
2.24e+06        1.06514
2.26251e+06        0.926697
2.29e+06        0.679236
2.33e+06        0.206929
2.345e+06        0.110533
2.35939e+06        0.125577
2.37e+06        0.196729
2.3925e+06        0.427032
2.42e+06        0.686019
2.44e+06        0.816988
2.47e+06        0.941343
2.5e+06        1.01146
2.52e+06        1.04031
2.55e+06        1.06668
2.58e+06        1.08133
2.62e+06        1.09114
2.68e+06        1.09298
2.7e+06        1.0925
2.72e+06        1.09202
2.74e+06        1.09154
2.76e+06        1.09107
2.79875e+06        1.09328
2.82e+06        1.09449
2.86e+06        1.10544
2.8845e+06        1.15201
2.88688e+06        1.20619
2.88781e+06        1.29478
2.88802e+06        1.3458
2.8886e+06        1.71767
2.88876e+06        1.86963
2.88888e+06        2.09623
2.88901e+06        2.52295
2.88906e+06        2.64856
2.88911e+06        2.70223
2.88917e+06        2.63974
2.88922e+06        2.44273
2.8893e+06        2.04773
2.88939e+06        1.58613
2.88944e+06        1.3641
2.8895e+06        1.2106
2.88956e+06        1.10577
2.88964e+06        1.04118
2.8898e+06        0.995924
2.89006e+06        0.972955
2.892e+06        1.04591
2.896e+06        1.08323
2.905e+06        1.10321
2.92e+06        1.11741
2.935e+06        1.13161
2.95e+06        1.1458
2.965e+06        1.16309
2.98e+06        1.18411
2.995e+06        1.21264
3.0025e+06        1.24656
3.004e+06        1.26632
3.00562e+06        1.34437
3.006e+06        1.3834
3.00631e+06        1.46934
3.00647e+06        1.52671
3.00658e+06        1.59139
3.0067e+06        1.72281
3.00678e+06        1.84608
3.00685e+06        2.01864
3.0069e+06        2.16306
3.00695e+06        2.32838
3.007e+06        2.49569
3.00702e+06        2.57114
3.00706e+06        2.64686
3.00709e+06        2.70468
3.00713e+06        2.70845
3.00717e+06        2.65333
3.00719e+06        2.6041
3.00721e+06        2.51603
3.00724e+06        2.41202
3.00726e+06        2.30928
3.00729e+06        2.16947
3.00732e+06        2.02759
3.00734e+06        1.9173
3.00736e+06        1.82979
3.00738e+06        1.7212
3.00741e+06        1.62476
3.00743e+06        1.5402
3.00747e+06        1.43988
3.00751e+06        1.3639
3.00756e+06        1.29628
3.00766e+06        1.2384
3.00791e+06        1.16475
3.00805e+06        1.14314
3.00812e+06        1.13995
3.00988e+06        1.18037
3.01016e+06        1.18528
3.04e+06        1.29541
3.06e+06        1.35908
3.09e+06        1.4862
3.12e+06        1.66182
3.15e+06        1.89782
3.18e+06        2.19785
3.201e+06        2.45445
3.204e+06        2.51106
3.206e+06        2.56363
3.20762e+06        2.65024
3.20806e+06        2.68413
3.20888e+06        2.78901
3.20938e+06        2.89268
3.20956e+06        2.95112
3.20988e+06        3.07383
3.21003e+06        3.15268
3.21031e+06        3.34533
3.21047e+06        3.47569
3.21062e+06        3.64994
3.21097e+06        4.12322
3.21112e+06        4.38369
3.21141e+06        4.88404
3.2115e+06        5.00525
3.21162e+06        5.07561
3.21184e+06        5.08965
3.21194e+06        5.06748
3.21203e+06        4.99511
3.21212e+06        4.85576
3.21241e+06        4.3422
3.21256e+06        4.07884
3.21278e+06        3.76839
3.213e+06        3.49053
3.21319e+06        3.33309
3.21344e+06        3.15591
3.21356e+06        3.08791
3.21394e+06        2.94838
3.21412e+06        2.90195
3.21481e+06        2.78749
3.21512e+06        2.75128
3.216e+06        2.69689
3.218e+06        2.66301
3.23e+06        2.75474
3.245e+06        2.90189
3.26e+06        3.03083
3.29e+06        3.19998
3.305e+06        3.23911
3.32e+06        3.25623
3.34e+06        3.24591
3.41e+06        3.13327
3.43e+06        3.10097
3.434e+06        3.10138
3.43578e+06        3.10825
3.43598e+06        3.10969
3.43606e+06        3.11431
3.43775e+06        3.23682
3.43792e+06        3.25554
3.438e+06        3.27166
3.43806e+06        3.29822
3.43811e+06        3.32238
3.43818e+06        3.36319
3.43824e+06        3.41931
3.43829e+06        3.4765
3.43834e+06        3.54245
3.43839e+06        3.62682
3.43844e+06        3.7306
3.43849e+06        3.85693
3.43854e+06        4.00878
3.4386e+06        4.23752
3.4387e+06        4.66845
3.43876e+06        4.9391
3.43881e+06        5.13097
3.43888e+06        5.31659
3.43891e+06        5.38809
3.43898e+06        5.43117
3.43902e+06        5.38913
3.43909e+06        5.26382
3.4392e+06        4.91531
3.43928e+06        4.67317
3.43934e+06        4.49883
3.43939e+06        4.37529
3.43944e+06        4.27331
3.43949e+06        4.18267
3.43955e+06        4.09115
3.43961e+06        4.02289
3.43968e+06        3.96958
3.43975e+06        3.9236
3.43982e+06        3.89079
3.43994e+06        3.86747
3.44002e+06        3.87316
3.44019e+06        3.91823
3.44038e+06        3.99228
3.44048e+06        4.05929
3.44059e+06        4.15618
3.44075e+06        4.36033
3.44094e+06        4.61931
3.44103e+06        4.77518
3.44131e+06        5.31431
3.44141e+06        5.47393
3.44151e+06        5.56301
3.44156e+06        5.55872
3.44169e+06        5.46401
3.44191e+06        5.19097
3.44212e+06        4.8329
3.44247e+06        4.17758
3.44262e+06        3.97567
3.44291e+06        3.71699
3.44309e+06        3.59236
3.44338e+06        3.46945
3.44356e+06        3.40956
3.44425e+06        3.28307
3.445e+06        3.21337
3.448e+06        3.13497
3.46e+06        3.08963
3.5e+06        3.07718
3.54e+06        3.09263
3.59e+06        3.11205
3.63e+06        3.10296
3.636e+06        3.10085
3.63825e+06        3.10018
3.64006e+06        3.09996
3.64047e+06        3.10017
3.64075e+06        3.10057
3.64094e+06        3.10101
3.64103e+06        3.10142
3.64119e+06        3.10248
3.6413e+06        3.10345
3.64136e+06        3.10434
3.64141e+06        3.10542
3.64145e+06        3.10711
3.6415e+06        3.10959
3.64155e+06        3.11316
3.6416e+06        3.11831
3.6417e+06        3.12965
3.64186e+06        3.14748
3.64194e+06        3.15406
3.642e+06        3.15657
3.64204e+06        3.15652
3.64211e+06        3.15372
3.64222e+06        3.14537
3.64242e+06        3.12784
3.64251e+06        3.12187
3.64258e+06        3.11812
3.64269e+06        3.11376
3.64286e+06        3.10811
3.64295e+06        3.10574
3.64302e+06        3.10429
3.64309e+06        3.10335
3.64316e+06        3.10279
3.64338e+06        3.10178
3.64394e+06        3.09951
3.64406e+06        3.09916
3.64588e+06        3.09637
3.648e+06        3.09367
3.68e+06        3.05514
3.71e+06        3.02182
3.73e+06        3.05908
3.751e+06        3.55544
3.755e+06        3.90467
3.761e+06        4.88746
3.765e+06        5.68751
3.769e+06        5.75052
3.774e+06        4.75212
3.779e+06        3.88147
3.782e+06        3.56345
3.785e+06        3.33401
3.791e+06        3.05928
3.799e+06        2.86551
3.83e+06        2.57867
3.85e+06        2.48701
3.87e+06        2.41211
3.9e+06        2.33137
3.93e+06        2.27777
3.955e+06        2.24097
3.975e+06        2.21393
3.99e+06        2.18048
4.02e+06        1.98038
4.05e+06        1.47435
4.07e+06        1.2717
4.095e+06        1.21828
4.11e+06        1.21102
4.12e+06        1.22849
4.15e+06        1.64996
4.18e+06        2.26082
4.19e+06        2.24637
4.22e+06        1.92256
4.24e+06        1.68531
4.26e+06        1.49337
4.28e+06        1.47449
4.29e+06        1.68335
4.305e+06        2.45865
4.315e+06        2.93628
4.33e+06        3.07198
4.345e+06        2.83347
4.36e+06        2.56203
4.38146e+06        2.26437
4.405e+06        2.04545
4.42e+06        1.94761
4.43e+06        1.9014
4.44e+06        1.87536
4.451e+06        1.87246
4.454e+06        1.86908
4.457e+06        1.84778
4.46e+06        1.76091
4.46275e+06        1.59368
4.464e+06        1.50738
4.465e+06        1.44603
4.468e+06        1.34213
4.469e+06        1.3313
4.472e+06        1.33405
4.475e+06        1.35151
4.478e+06        1.3692
4.481e+06        1.38189
4.4845e+06        1.39007
4.4895e+06        1.39422
4.495e+06        1.3901
4.5075e+06        1.3611
4.5155e+06        1.34578
4.5175e+06        1.35371
4.51875e+06        1.36754
4.52e+06        1.39449
4.521e+06        1.43432
4.52188e+06        1.49287
4.52262e+06        1.57309
4.523e+06        1.62031
